#Oct 10, 2006	Omega Optical
#Room temperature transmission scans of SWIRC Y-band filter witness sample
#at 15 deg angle of incidence with respect to the normal.
#wl	transmission
#--	-
1914	0.0128
1913	-0.0013
1912	0.0232
1911	0.0113
1910	-0.0001
1909	-0.0026
1908	-0.0166
1907	0.0001
1906	0.0179
1905	0.0001
1904	0.0050
1903	-0.0032
1902	0.0130
1901	-0.0037
1900	0.0080
1899	0.0031
1898	0.0075
1897	0.0190
1896	0.0129
1895	0.0043
1894	0.0104
1893	0.0100
1892	-0.0013
1891	-0.0148
1890	0.0231
1889	0.0064
1888	-0.0094
1887	0.0145
1886	0.0087
1885	0.0050
1884	0.0020
1883	0.0045
1882	0.0032
1881	0.0288
1880	0.0076
1879	0.0077
1878	0.0038
1877	0.0124
1876	0.0142
1875	0.0105
1874	0.0053
1873	-0.0035
1872	0.0045
1871	0.0021
1870	0.0084
1869	0.0132
1868	0.0075
1867	-0.0014
1866	0.0250
1865	-0.0094
1864	0.0107
1863	0.0068
1862	0.0082
1861	0.0115
1860	0.0013
1859	0.0045
1858	0.0075
1857	-0.0033
1856	0.0028
1855	-0.0006
1854	0.0069
1853	0.0160
1852	-0.0013
1851	0.0033
1850	-0.0083
1849	0.0032
1848	0.0090
1847	-0.0013
1846	0.0006
1845	0.0057
1844	-0.0031
1843	0.0059
1842	0.0018
1841	-0.0095
1840	-0.0076
1839	0.0058
1838	0.0145
1837	-0.0010
1836	-0.0017
1835	0.0112
1834	0.0013
1833	0.0280
1832	-0.0013
1831	-0.0101
1830	0.0014
1829	0.0026
1828	-0.0071
1827	0.0046
1826	0.0126
1825	0.0101
1824	0.0063
1823	0.0085
1822	-0.0048
1821	-0.0006
1820	0.0013
1819	-0.0012
1818	-0.0018
1817	0.0051
1816	0.0031
1815	0.0006
1814	0.0019
1813	0.0044
1812	0.0177
1811	-0.0095
1810	0.0045
1809	-0.0032
1808	0.0006
1807	0.0139
1806	0.0089
1805	0.0038
1804	0.0076
1803	-0.0038
1802	-0.0114
1801	0.0084
1800	0.0153
1799	0.0043
1798	-0.0132
1797	0.0058
1796	0.0140
1795	0.0115
1794	0.0051
1793	0.0050
1792	-0.0019
1791	0.0299
1790	-0.0019
1789	-0.0146
1788	-0.0000
1787	-0.0141
1786	-0.0075
1785	-0.0038
1784	0.0030
1783	0.0020
1782	-0.0018
1781	-0.0014
1780	-0.0076
1779	0.0006
1778	-0.0038
1777	-0.0045
1776	-0.0013
1775	0.0019
1774	-0.0064
1773	0.0076
1772	0.0089
1771	0.0013
1770	0.0007
1769	-0.0077
1768	0.0096
1767	0.0108
1766	0.0135
1765	0.0037
1764	0.0019
1763	0.0115
1762	-0.0019
1761	0.0076
1760	-0.0101
1759	0.0019
1758	0.0108
1757	-0.0000
1756	0.0045
1755	0.0019
1754	0.0146
1753	0.0141
1752	0.0007
1751	0.0089
1750	-0.0044
1749	-0.0032
1748	-0.0019
1747	-0.0057
1746	0.0090
1745	-0.0050
1744	0.0037
1743	-0.0025
1742	-0.0083
1741	-0.0026
1740	0.0039
1739	-0.0019
1738	-0.0102
1737	-0.0007
1736	-0.0064
1735	0.0198
1734	0.0038
1733	0.0076
1732	-0.0025
1731	0.0089
1730	-0.0008
1729	0.0008
1728	0.0063
1727	0.0095
1726	0.0026
1725	-0.0063
1724	0.0025
1723	-0.0045
1722	0.0019
1721	0.0051
1720	0.0032
1719	0.0172
1718	-0.0013
1717	-0.0082
1716	-0.0184
1715	0.0032
1714	-0.0001
1713	-0.0172
1712	-0.0018
1711	0.0032
1710	0.0089
1709	-0.0019
1708	-0.0021
1707	0.0134
1706	0.0031
1705	0.0002
1704	0.0038
1703	-0.0070
1702	-0.0114
1701	-0.0082
1700	0.0114
1699	0.0038
1698	0.0121
1697	-0.0019
1696	0.0064
1695	-0.0083
1694	0.0063
1693	0.0044
1692	-0.0083
1691	-0.0038
1690	-0.0044
1689	0.0133
1688	0.0098
1687	0.0031
1686	0.0002
1685	-0.0083
1684	-0.0185
1683	0.0038
1682	-0.0019
1681	-0.0064
1680	0.0019
1679	-0.0089
1678	0.0064
1677	0.0083
1676	0.0026
1675	-0.0007
1674	-0.0262
1673	-0.0018
1672	-0.0101
1671	-0.0165
1670	-0.0012
1669	0.0000
1668	0.0140
1667	0.0082
1666	-0.0089
1665	-0.0037
1664	-0.0108
1663	0.0051
1662	0.0120
1661	-0.0147
1660	-0.0051
1659	-0.0019
1658	0.0242
1657	-0.0032
1656	-0.0038
1655	0.0019
1654	-0.0038
